SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL_RAINFALL,JUN-SEP,MAR-MAY,OCT-DEC,JAN-FEB,CLOUD_COVERAGE,FLOODS
SAURASHTRA & KUTCH,1947,9.8,6.4,1.8,11.4,19.5,42.3,94.1,88.1,44.0,12.3,1.5,3.8,335.0,268.5,32.7,17.6,16.2,63.1,0
GANGETIC WEST BENGAL,1999,9.5,17.9,68.8,82.0,203.2,200.4,470.7,269.2,229.9,99.4,22.9,6.2,1680.1,1170.2,354.0,128.5,27.4,75.1,1
UTTARAKHAND,1927,84.3,109.1,51.0,50.5,69.5,115.4,161.3,341.6,126.4,27.8,31.4,39.2,1207.5,744.7,171.0,98.4,193.4,55.7,0
WEST RAJASTHAN,1982,1.7,0.0,0.0,5.0,34.5,56.8,167.0,64.0,12.8,2.8,3.7,0.0,348.3,300.6,39.5,6.5,1.7,47.4,0
GUJARAT REGION,2003,0.1,0.0,17.9,20.6,41.7,83.4,348.4,382.3,198.4,41.7,16.5,4.1,1155.1,1012.5,80.2,62.3,0.1,73.2,0
WEST MADHYA PRADESH,1944,13.8,16.6,0.0,11.0,32.7,176.6,143.3,252.9,217.8,49.5,17.6,5.1,936.9,790.6,43.7,72.2,30.4,55.6,0
LAKSHADWEEP,1969,12.9,20.3,3.5,0.0,408.4,241.7,220.0,280.7,264.3,238.6,114.4,97.4,1902.2,1006.7,411.9,450.4,33.2,70.4,1
KERALA,2005,2.5,2.9,8.7,41.2,119.9,1049.8,346.1,402.1,481.4,30.0,75.8,11.2,2571.6,2279.4,169.8,117.0,5.4,70.2,1
EAST UTTAR PRADESH,2006,5.3,26.0,14.5,14.7,36.1,138.5,311.1,192.0,174.6,40.8,0.0,10.9,964.5,816.2,65.3,51.7,31.3,61.6,0
COASTAL ANDHRA PRADESH,1923,22.7,7.4,20.9,40.2,57.7,23.5,68.3,121.8,76.1,346.9,247.4,121.6,1154.5,289.7,118.8,715.9,30.1,70.2,0
TAMIL NADU,2015,24.8,0.0,19.0,18.4,37.5,48.8,62.4,116.9,61.2,194.4,388.9,138.1,1110.4,289.3,74.9,721.4,24.8,75.2,0
ORISSA,1961,5.6,7.1,20.8,18.2,46.8,172.2,223.9,287.1,116.8,88.4,1.0,15.3,1003.2,800.0,85.8,104.7,12.7,78.5,0
ASSAM & MEGHALAYA,1964,23.3,33.3,30.7,38.2,153.6,238.5,404.7,465.4,131.2,133.2,41.4,16.5,1710.0,1239.8,222.5,191.1,56.6,77.9,1
ARUNACHAL PRADESH,1982,11.1,12.0,45.4,87.3,214.0,281.1,481.0,332.4,337.6,107.5,38.6,15.8,1963.8,1432.1,346.7,161.9,23.1,85.4,1
RAYALSEEMA,1972,7.9,0.2,6.7,4.4,26.0,49.6,120.4,169.2,27.7,17.2,3.5,4.1,436.9,366.9,37.1,24.8,8.1,52.6,0
COASTAL KARNATAKA,1964,0.2,1.8,8.1,26.0,84.0,924.5,1125.0,758.5,551.4,161.2,62.2,16.4,3719.3,3359.4,118.1,239.8,2.0,86.8,1
WEST UTTAR PRADESH,1984,5.6,2.0,13.7,26.8,31.1,86.1,265.1,242.6,175.6,74.7,22.1,5.0,950.4,769.4,71.6,101.8,7.6,69.2,0
SUB HIMALAYAN WEST BENGAL,1905,12.6,28.0,59.7,47.1,192.7,221.0,316.9,371.6,87.0,128.8,44.7,0.0,1510.1,996.5,299.5,173.5,40.6,66.6,0
ARUNACHAL PRADESH,1958,16.8,26.2,30.8,102.7,70.3,405.4,256.7,381.4,203.9,147.7,29.5,0.0,1671.4,1247.4,203.8,177.2,43.0,87.0,1
ANDAMAN & NICOBAR ISLANDS,1924,36.3,13.1,38.2,50.0,339.5,244.7,309.3,319.5,435.7,384.2,131.7,117.7,2419.9,1309.2,427.7,633.6,49.4,78.4,1
WEST RAJASTHAN,1913,1.1,0.0,0.0,10.1,12.9,59.5,154.5,110.6,79.7,14.3,0.4,5.1,448.2,404.3,23.0,19.8,1.1,45.0,0
TAMIL NADU,1954,30.0,0.0,39.0,70.1,45.5,21.5,110.6,68.0,106.4,285.2,284.6,107.9,1168.8,306.5,154.6,677.7,30.0,56.2,0
JHARKHAND,1941,0.4,7.0,12.4,5.1,12.8,152.0,113.5,189.7,316.1,49.6,10.3,5.9,874.8,771.3,30.3,65.8,7.4,73.0,0
ARUNACHAL PRADESH,2015,14.0,15.3,35.7,119.4,64.5,294.2,416.2,264.6,269.6,74.4,39.6,0.0,1607.5,1244.6,219.6,114.0,29.3,72.7,1
KONKAN & GOA,1909,3.2,1.0,18.2,15.2,39.1,789.3,619.1,534.9,381.9,127.9,74.6,3.3,2607.7,2325.2,72.5,205.8,4.2,72.1,1
EAST MADHYA PRADESH,1944,11.7,22.3,15.7,18.3,7.8,156.7,221.5,309.5,151.3,52.8,0.4,0.0,968.0,839.0,41.8,53.2,34.0,63.4,0
HARYANA DELHI & CHANDIGARH,2003,3.0,4.3,7.9,8.7,27.3,49.7,208.8,81.6,36.9,20.5,8.1,0.2,457.0,377.0,43.9,28.8,7.3,41.7,0
COASTAL ANDHRA PRADESH,1955,31.6,12.9,3.6,5.9,25.6,56.7,51.0,82.8,46.5,260.4,98.5,87.2,762.7,237.0,35.1,446.1,44.5,49.8,0
TAMIL NADU,1908,27.4,3.0,2.7,49.3,53.8,50.4,90.5,0.0,125.4,146.7,237.1,141.9,928.2,266.3,105.8,525.7,30.4,73.7,0
VIDARBHA,2011,7.8,13.3,10.1,7.2,18.9,143.8,445.4,377.8,134.3,61.8,12.1,8.8,1241.3,1101.3,36.2,82.7,21.1,79.8,1
HARYANA DELHI & CHANDIGARH,1939,0.0,6.5,3.4,4.5,22.9,86.7,154.5,79.3,27.7,0.0,4.5,4.2,394.2,348.2,30.8,8.7,6.5,65.5,0
COASTAL KARNATAKA,2004,6.0,1.8,21.9,20.8,60.2,515.2,943.7,524.8,235.8,203.3,22.9,10.3,2566.7,2219.5,102.9,236.5,7.8,94.5,1
COASTAL ANDHRA PRADESH,1948,37.0,16.9,0.0,20.4,45.5,3.1,33.7,73.3,82.0,200.6,161.9,97.0,771.4,192.1,65.9,459.5,53.9,60.7,0
GANGETIC WEST BENGAL,1958,4.6,11.1,27.0,31.8,76.4,175.3,364.7,379.8,319.0,94.6,22.7,11.0,1518.0,1238.8,135.2,128.3,15.7,75.7,1
RAYALSEEMA,1918,7.9,2.5,3.4,14.2,13.8,64.7,115.4,162.3,74.7,20.5,5.7,1.9,487.0,417.1,31.4,28.1,10.4,65.5,0
EAST RAJASTHAN,1985,4.4,0.3,12.5,12.9,15.4,43.2,129.9,120.7,0.0,36.1,1.6,3.0,380.0,293.8,40.8,40.7,4.7,58.8,0
ARUNACHAL PRADESH,1932,4.8,7.2,43.0,119.6,122.1,345.0,309.7,371.4,393.3,154.3,6.4,14.6,1891.4,1419.4,284.7,175.3,12.0,64.1,0
ASSAM & MEGHALAYA,1953,15.0,24.8,81.2,87.6,110.7,377.1,384.7,358.8,196.4,113.9,30.5,9.0,1789.7,1317.0,279.5,153.4,39.8,90.4,1
UTTARAKHAND,2014,45.2,78.6,36.9,16.8,67.7,150.9,145.4,101.9,89.5,37.4,26.5,27.7,824.5,487.7,121.4,91.6,123.8,63.0,0
VIDARBHA,1925,7.3,1.0,1.2,3.8,67.2,201.6,226.6,348.7,140.2,92.3,15.8,4.0,1109.7,917.1,72.2,112.1,8.3,67.9,0
UTTARAKHAND,1961,70.0,76.5,65.1,56.0,114.6,182.4,267.6,208.3,138.0,14.9,21.6,14.8,1229.8,796.3,235.7,51.3,146.5,78.6,0
JHARKHAND,1940,6.6,8.1,3.0,34.5,17.5,114.8,118.7,258.4,156.7,65.5,3.3,12.4,799.5,648.6,55.0,81.2,14.7,59.9,0
VIDARBHA,1955,0.0,14.4,11.4,25.0,24.9,202.0,195.4,352.6,178.0,20.1,21.8,6.8,1052.4,928.0,61.3,48.7,14.4,65.7,0
KONKAN & GOA,1937,9.0,10.1,7.0,27.2,81.8,868.2,637.9,475.7,216.5,47.5,45.0,22.8,2448.7,2198.3,116.0,115.3,19.1,67.3,1
ARUNACHAL PRADESH,1984,8.4,9.4,43.7,97.7,132.2,440.4,302.5,318.4,306.6,139.6,30.7,0.0,1829.6,1367.9,273.6,170.3,17.8,76.8,1
WEST RAJASTHAN,1909,4.3,7.5,2.5,8.3,8.2,60.4,106.2,110.7,28.6,6.7,0.0,1.6,345.0,305.9,19.0,8.3,11.8,52.4,0
EAST RAJASTHAN,2015,9.8,8.4,3.5,0.0,6.7,14.8,27.7,131.4,61.9,33.0,1.0,3.0,301.2,235.8,10.2,37.0,18.2,48.7,0
TAMIL NADU,1981,17.3,7.0,15.5,44.6,71.7,24.6,59.1,107.8,141.4,153.7,370.8,136.6,1150.1,332.9,131.8,661.1,24.3,71.8,0
BIHAR,1991,8.9,0.0,12.1,20.5,20.9,223.7,393.8,229.4,145.5,56.1,13.0,4.4,1128.3,992.4,53.5,73.5,8.9,65.7,0
SOUTH INTERIOR KARNATAKA,1969,0.4,13.7,25.6,15.5,50.3,227.6,429.7,284.4,221.1,102.4,19.5,5.0,1395.2,1162.8,91.4,126.9,14.1,76.6,1
PUNJAB,1919,3.0,7.4,2.0,6.3,10.7,47.4,132.2,123.5,118.1,0.0,3.5,0.3,454.4,421.2,19.0,3.8,10.4,66.6,0
GUJARAT REGION,1954,5.7,19.0,27.0,34.9,48.5,139.6,405.9,387.7,189.7,95.3,15.4,16.5,1385.2,1122.9,110.4,127.2,24.7,56.7,0
VIDARBHA,1940,2.9,12.6,25.6,9.7,45.2,77.4,197.2,375.9,183.3,54.8,17.4,0.8,1002.8,833.8,80.5,73.0,15.5,63.7,0
SOUTH INTERIOR KARNATAKA,1940,15.4,0.0,32.6,18.5,13.3,72.5,304.6,152.2,140.8,52.5,26.4,14.1,842.9,670.1,64.4,93.0,15.4,56.7,0
MADHYA MAHARASHTRA,1957,0.0,0.0,2.7,33.5,41.7,173.0,148.8,203.1,120.0,55.0,12.7,2.0,792.5,644.9,77.9,69.7,0.0,67.9,0
TAMIL NADU,1912,28.8,0.0,25.5,37.3,31.6,37.2,107.9,105.7,100.4,183.4,307.7,94.4,1059.9,351.2,94.4,585.5,28.8,77.1,0
RAYALSEEMA,2004,1.0,2.4,13.7,11.5,22.9,34.1,123.1,192.2,23.6,19.6,8.8,4.9,457.8,373.0,48.1,33.3,3.4,55.3,0
MATSHYA PRADESH,2009,4.7,8.6,3.1,8.1,12.4,9.7,165.8,182.3,33.8,24.6,1.5,3.3,457.9,391.6,23.6,29.4,13.3,52.0,0
SAURASHTRA & KUTCH,1933,4.0,0.0,2.3,0.0,19.3,70.8,108.9,111.4,50.2,22.4,4.4,0.0,393.7,341.3,21.6,26.8,4.0,66.7,0
RAYALSEEMA,1931,6.8,3.4,0.0,5.8,0.0,18.8,127.1,109.1,69.2,15.0,1.9,2.9,360.0,324.2,5.8,19.8,10.2,45.8,0
CHHATTISGARH,1982,15.8,7.9,1.6,19.6,16.5,201.0,207.2,258.6,288.2,93.0,19.8,7.2,1136.4,955.0,37.7,120.0,23.7,77.0,0
NAGA MANI MIZO TRIPURA,1964,16.3,5.2,32.0,69.8,54.5,244.3,334.5,363.9,507.9,119.0,31.9,8.0,1787.3,1450.6,156.3,158.9,21.5,68.4,1
MADHYA MAHARASHTRA,1934,19.4,11.0,11.0,31.6,16.6,193.2,406.5,240.7,323.7,79.3,21.6,16.2,1370.8,1164.1,59.2,117.1,30.4,70.8,1
GUJARAT REGION,1985,12.8,23.2,3.4,0.0,29.1,44.8,251.7,285.1,160.7,55.8,5.0,12.7,884.3,742.3,32.5,73.5,36.0,58.3,0
MATSHYA PRADESH,1937,3.4,8.7,5.3,2.2,16.0,61.0,124.5,89.4,74.6,0.0,1.3,0.4,386.8,349.5,23.5,1.7,12.1,66.1,0
ORISSA,1980,16.1,17.7,16.9,2.6,41.2,233.2,331.4,257.2,224.2,68.2,24.3,13.4,1246.4,1046.0,60.7,105.9,33.8,55.0,0
EAST MADHYA PRADESH,1977,5.6,16.3,11.6,11.0,30.0,216.4,292.2,237.9,202.4,62.5,0.0,12.2,1098.1,948.9,52.6,74.7,21.9,65.7,0
EAST RAJASTHAN,1925,7.2,9.9,8.2,3.7,6.8,77.9,26.1,94.0,73.2,0.0,4.7,4.9,316.6,271.2,18.7,9.6,17.1,55.5,0
ARUNACHAL PRADESH,1986,6.7,8.1,51.0,134.0,74.9,114.7,385.0,351.7,299.7,97.7,27.0,12.9,1563.4,1151.1,259.9,137.6,14.8,68.9,0
ORISSA,1903,5.8,13.7,5.8,40.8,20.5,147.5,330.0,212.7,50.7,47.1,25.3,6.0,905.9,740.9,67.1,78.4,19.5,69.4,0
HIMACHAL PRADESH,1912,66.6,65.3,85.0,88.7,7.3,181.5,258.4,327.2,193.5,41.2,22.6,24.1,1361.4,960.6,181.0,87.9,131.9,77.4,0
COASTAL ANDHRA PRADESH,1965,23.5,5.9,9.9,12.0,94.6,40.3,53.3,47.5,217.4,124.9,257.1,140.8,1027.2,358.5,116.5,522.8,29.4,73.2,0
GANGETIC WEST BENGAL,1912,24.5,26.1,18.9,72.3,155.4,506.8,232.3,482.3,296.2,161.9,28.5,3.3,2008.5,1517.6,246.6,193.7,50.6,87.7,1
ASSAM & MEGHALAYA,1943,17.8,19.8,28.0,33.2,181.0,342.4,284.1,290.8,238.0,45.9,17.7,0.9,1499.6,1155.3,242.2,64.5,37.6,60.8,0
GANGETIC WEST BENGAL,1965,0.0,44.3,65.1,56.6,153.6,341.7,542.9,260.0,378.3,92.6,10.0,15.8,1960.9,1522.9,275.3,118.4,44.3,81.0,1
JHARKHAND,1938,0.8,17.6,10.9,29.4,7.9,74.2,210.2,266.3,135.1,79.8,25.3,11.6,869.1,685.8,48.2,116.7,18.4,63.2,0
UTTARAKHAND,1926,29.6,110.9,44.9,58.2,89.3,142.8,130.3,165.7,229.4,36.6,15.8,41.4,1094.9,668.2,192.4,93.8,140.5,69.9,0
BIHAR,1909,12.6,4.2,17.8,23.1,17.7,139.8,145.0,232.3,248.2,37.6,34.1,0.0,912.4,765.3,58.6,71.7,16.8,49.7,0
EAST MADHYA PRADESH,1961,14.8,13.3,13.3,19.9,29.6,139.5,320.1,185.1,119.6,76.8,13.5,13.8,959.3,764.3,62.8,104.1,28.1,52.1,0
LAKSHADWEEP,1973,46.3,22.5,28.0,49.8,248.2,374.0,437.1,177.8,296.1,229.6,195.4,121.8,2226.6,1285.0,326.0,546.8,68.8,95.0,1
VIDARBHA,1951,4.1,13.2,15.4,25.5,43.8,313.6,148.4,314.9,186.9,4.7,27.5,10.5,1108.5,963.8,84.7,42.7,17.3,55.0,0
SUB HIMALAYAN WEST BENGAL,1982,1.6,23.1,70.2,16.0,62.9,367.6,563.7,296.1,100.2,191.6,17.8,7.1,1717.9,1327.6,149.1,216.5,24.7,63.5,1
CHHATTISGARH,1980,2.7,5.1,33.6,33.9,38.6,18.8,332.0,301.9,90.5,67.8,25.5,11.4,961.8,743.2,106.1,104.7,7.8,63.1,0
ANDAMAN & NICOBAR ISLANDS,1904,41.0,20.7,43.8,59.9,375.3,440.4,252.0,375.5,316.8,333.5,207.8,73.4,2540.1,1384.7,479.0,614.7,61.7,75.9,1
LAKSHADWEEP,2011,34.7,11.4,35.0,8.9,459.3,423.0,391.9,555.1,444.8,212.0,184.7,11.3,2772.1,1814.8,503.2,408.0,46.1,77.0,1
BIHAR,1990,0.0,2.5,23.7,39.4,30.3,91.1,152.1,373.2,211.5,50.1,9.3,12.0,995.2,827.9,93.4,71.4,2.5,54.4,0
HARYANA DELHI & CHANDIGARH,1989,4.9,0.0,5.0,11.0,17.1,31.9,165.4,83.7,20.0,12.2,5.8,1.7,358.7,301.0,33.1,19.7,4.9,45.9,0
ANDAMAN & NICOBAR ISLANDS,2005,31.0,10.5,24.1,80.7,314.3,584.5,531.1,360.5,339.4,380.5,188.2,129.3,2974.1,1815.5,419.1,698.0,41.5,79.4,1
LAKSHADWEEP,1972,31.6,15.9,35.3,34.7,294.3,480.2,421.0,363.4,289.8,199.3,129.0,61.1,2355.6,1554.4,364.3,389.4,47.5,76.4,1
SAURASHTRA & KUTCH,1944,0.0,12.1,6.3,1.0,10.6,52.8,205.2,55.7,89.3,29.0,2.1,2.4,466.5,403.0,17.9,33.5,12.1,52.5,0
LAKSHADWEEP,1988,29.5,27.9,41.4,31.3,103.3,347.7,415.2,397.4,317.3,260.0,270.9,93.4,2335.3,1477.6,176.0,624.3,57.4,69.1,1
HARYANA DELHI & CHANDIGARH,1962,3.5,11.5,4.3,7.9,10.2,77.5,218.0,118.0,62.5,15.4,0.0,4.5,533.3,476.0,22.4,19.9,15.0,69.4,0
JAMMU & KASHMIR,1982,42.2,58.5,49.7,60.4,40.5,224.1,284.5,140.7,142.3,27.0,0.0,54.0,1123.9,791.6,150.6,81.0,100.7,73.0,0
PUNJAB,1952,4.5,0.0,3.1,12.2,4.5,0.0,108.6,94.3,64.1,22.3,5.9,3.5,323.0,267.0,19.8,31.7,4.5,47.7,0
ANDAMAN & NICOBAR ISLANDS,1991,13.8,39.4,46.7,25.0,141.7,222.3,242.6,458.2,504.9,313.2,165.8,92.0,2265.6,1428.0,213.4,571.0,53.2,87.2,1
KONKAN & GOA,1963,6.7,8.1,4.2,22.5,105.4,859.8,678.4,674.9,228.8,225.9,31.7,15.1,2861.5,2441.9,132.1,272.7,14.8,82.7,1
GANGETIC WEST BENGAL,1964,11.8,13.8,52.8,98.5,132.1,190.5,336.6,447.0,122.7,107.6,44.9,9.3,1567.6,1096.8,283.4,161.8,25.6,71.5,1
ANDAMAN & NICOBAR ISLANDS,1990,60.3,22.8,18.3,58.4,257.1,360.2,233.9,369.1,302.2,160.2,298.5,42.1,2183.1,1265.4,333.8,500.8,83.1,67.2,1
SUB HIMALAYAN WEST BENGAL,1965,11.6,32.3,20.1,10.3,173.5,550.3,399.1,372.2,253.4,199.4,28.8,8.5,2059.5,1575.0,203.9,236.7,43.9,74.6,1
SUB HIMALAYAN WEST BENGAL,1982,0.0,30.6,28.2,50.7,245.0,282.1,459.3,353.2,200.2,154.5,34.7,4.7,1843.2,1294.8,323.9,193.9,30.6,67.2,1
GUJARAT REGION,1968,4.1,14.7,14.5,38.7,36.1,233.2,289.8,246.3,177.3,36.9,20.3,3.9,1115.8,946.6,89.3,61.1,18.8,77.8,0
EAST MADHYA PRADESH,1970,17.5,13.3,23.6,28.9,24.3,276.5,228.1,267.3,281.8,102.9,15.1,13.9,1293.2,1053.7,76.8,131.9,30.8,55.7,0
UTTARAKHAND,1952,29.7,91.7,80.7,28.6,56.7,252.5,341.7,166.9,210.1,22.1,0.0,29.7,1310.4,971.2,166.0,51.8,121.4,72.0,0
COASTAL ANDHRA PRADESH,1978,9.5,3.6,25.1,29.3,84.5,26.6,58.4,47.7,100.3,96.5,251.2,48.2,780.9,233.0,138.9,395.9,13.1,68.3,0
SUB HIMALAYAN WEST BENGAL,1968,0.0,36.0,89.9,81.4,107.9,582.4,241.7,352.2,296.2,187.3,35.4,6.0,2016.4,1472.5,279.2,228.7,36.0,93.0,1
LAKSHADWEEP,1956,43.4,23.9,23.7,3.1,454.0,310.1,456.1,357.5,322.9,265.4,181.6,70.7,2512.4,1446.6,480.8,517.7,67.3,94.2,1
HARYANA DELHI & CHANDIGARH,1911,5.5,5.2,7.5,5.9,37.2,87.1,158.1,22.3,78.2,11.6,1.1,2.3,422.0,345.7,50.6,15.0,10.7,59.8,0
HIMACHAL PRADESH,1958,100.4,94.8,129.1,8.9,37.3,72.8,348.3,214.6,161.4,52.7,0.5,20.7,1241.5,797.1,175.3,73.9,195.2,81.9,0
RAYALSEEMA,2012,7.0,2.8,0.0,3.5,12.1,54.2,116.5,75.4,88.2,13.7,4.6,1.9,379.9,334.3,15.6,20.2,9.8,51.2,0
HARYANA DELHI & CHANDIGARH,1901,4.2,9.1,6.1,9.3,0.0,67.0,122.8,121.7,65.5,9.4,6.7,3.4,425.2,377.0,15.4,19.5,13.3,58.6,0
SUB HIMALAYAN WEST BENGAL,1950,2.8,24.1,6.9,64.6,188.3,232.4,171.4,378.3,227.2,110.7,19.1,25.8,1451.6,1009.3,259.8,155.6,26.9,84.4,0
NAGA MANI MIZO TRIPURA,1976,0.0,54.0,32.2,85.5,111.3,238.3,305.8,416.1,153.0,138.2,0.0,12.2,1546.6,1113.2,229.0,150.4,54.0,64.5,1
COASTAL KARNATAKA,1904,8.4,0.0,15.4,25.8,135.9,446.1,1363.2,167.5,267.0,35.1,77.0,7.9,2549.3,2243.8,177.1,120.0,8.4,93.2,1
WEST RAJASTHAN,1904,4.7,2.9,7.2,3.9,5.0,69.3,162.8,49.1,22.9,10.5,1.9,4.0,344.2,304.1,16.1,16.4,7.6,63.3,0
GANGETIC WEST BENGAL,1961,12.5,12.3,2.2,85.4,54.5,234.3,313.4,294.1,161.6,83.7,47.2,19.1,1320.3,1003.4,142.1,150.0,24.8,68.8,0
NAGA MANI MIZO TRIPURA,1982,12.2,33.9,10.6,104.2,205.1,211.1,565.9,576.3,350.0,149.7,13.2,18.6,2250.8,1703.3,319.9,181.5,46.1,83.8,1
GUJARAT REGION,1923,10.8,0.0,19.1,51.5,0.0,146.8,104.8,188.5,44.9,64.8,22.9,10.5,664.6,485.0,70.6,98.2,10.8,51.9,0
UTTARAKHAND,1910,34.7,132.9,73.3,18.3,54.5,62.3,387.8,244.0,91.5,54.0,12.2,10.7,1176.2,785.6,146.1,76.9,167.6,75.9,0
ANDAMAN & NICOBAR ISLANDS,1903,47.1,20.8,26.6,54.0,459.5,315.9,436.3,437.8,385.0,222.2,187.2,76.7,2669.1,1575.0,540.1,486.1,67.9,78.8,1
ORISSA,1911,0.0,25.4,7.6,10.0,0.0,129.0,259.5,317.2,82.1,14.4,19.5,14.0,878.7,787.8,17.6,47.9,25.4,64.9,0
VIDARBHA,1933,8.2,20.7,14.3,0.0,27.7,213.6,199.6,229.0,167.7,0.0,31.7,2.6,915.1,809.9,42.0,34.3,28.9,59.7,0
CHHATTISGARH,1967,10.6,18.4,9.7,10.7,37.1,70.7,380.0,260.9,172.0,76.4,19.8,8.0,1074.3,883.6,57.5,104.2,29.0,58.0,0
WEST MADHYA PRADESH,1926,1.2,18.6,16.6,31.9,21.6,111.8,330.8,259.4,175.2,107.1,21.0,0.0,1095.2,877.2,70.1,128.1,19.8,72.5,0
EAST RAJASTHAN,1903,7.6,1.2,6.3,8.6,5.4,73.7,107.9,146.1,37.7,0.4,3.3,3.5,401.7,365.4,20.3,7.2,8.8,52.3,0
MATSHYA PRADESH,1939,5.5,3.2,2.9,12.2,18.3,61.2,196.4,79.8,58.5,20.5,1.4,3.5,463.4,395.9,33.4,25.4,8.7,56.8,0
WEST UTTAR PRADESH,1964,21.3,7.2,1.6,17.4,78.6,203.7,334.3,323.6,126.1,69.8,15.0,18.9,1217.5,987.7,97.6,103.7,28.5,78.9,0
ORISSA,1972,7.3,9.0,3.4,21.7,34.4,77.9,320.8,278.7,250.9,96.4,15.9,1.8,1118.2,928.3,59.5,114.1,16.3,70.7,0
EAST MADHYA PRADESH,1980,9.0,26.0,20.0,29.0,44.1,76.6,307.6,161.0,160.1,79.2,4.7,11.4,928.7,705.3,93.1,95.3,35.0,66.1,0
COASTAL KARNATAKA,1978,1.2,2.8,8.3,37.6,68.8,314.6,1028.0,416.1,294.1,142.3,44.0,18.8,2376.6,2052.8,114.7,205.1,4.0,69.7,1
WEST RAJASTHAN,1933,10.5,5.8,4.4,12.8,17.5,60.0,244.6,89.0,50.5,16.2,7.2,0.0,518.5,444.1,34.7,23.4,16.3,42.2,0
EAST UTTAR PRADESH,1989,0.9,7.2,22.0,35.4,29.3,87.3,374.9,316.0,271.5,68.7,9.8,11.1,1234.1,1049.7,86.7,89.6,8.1,55.7,0
TELANGANA,1941,5.9,12.9,28.0,26.8,0.0,150.3,357.6,152.5,232.5,71.7,26.8,3.8,1068.8,892.9,54.8,102.3,18.8,66.5,0
EAST MADHYA PRADESH,1943,8.1,14.6,15.4,29.0,14.7,95.2,411.8,428.0,179.6,111.5,7.3,4.8,1320.0,1114.6,59.1,123.6,22.7,72.4,1
ANDAMAN & NICOBAR ISLANDS,1929,38.6,1.9,27.8,61.3,470.7,265.2,226.6,271.5,216.3,356.9,272.9,91.2,2300.9,979.6,559.8,721.0,40.5,81.1,1
TELANGANA,1909,7.4,9.3,11.9,1.4,34.0,147.6,347.1,267.5,168.6,33.9,15.7,12.4,1056.8,930.8,47.3,62.0,16.7,65.3,0
BIHAR,1975,9.4,6.3,9.1,22.8,13.0,171.0,199.4,345.0,343.6,34.2,20.3,3.6,1177.7,1059.0,44.9,58.1,15.7,60.5,0
ANDAMAN & NICOBAR ISLANDS,1936,37.2,9.5,21.9,24.2,382.2,257.9,446.2,332.1,338.6,261.8,134.3,87.4,2333.3,1374.8,428.3,483.5,46.7,76.7,1
COASTAL KARNATAKA,1917,10.9,5.6,13.5,40.0,66.5,226.3,713.0,673.7,370.3,187.1,32.1,22.6,2361.6,1983.3,120.0,241.8,16.5,93.0,1
COASTAL ANDHRA PRADESH,1972,30.8,0.0,5.0,14.4,76.8,33.9,120.8,80.1,41.1,152.9,311.7,145.8,1013.3,275.9,96.2,610.4,30.8,76.7,0
WEST RAJASTHAN,1928,1.7,1.5,7.9,10.2,13.4,27.0,124.6,37.4,64.3,23.7,0.2,0.0,311.9,253.3,31.5,23.9,3.2,49.5,0
WEST RAJASTHAN,1994,0.0,0.2,1.1,6.8,35.8,59.1,114.7,149.5,16.4,10.1,2.1,3.8,399.6,339.7,43.7,16.0,0.2,59.0,0
HARYANA DELHI & CHANDIGARH,1951,0.2,8.0,5.2,14.3,17.1,23.3,206.4,60.6,53.2,24.6,0.0,5.9,418.8,343.5,36.6,30.5,8.2,50.1,0
EAST UTTAR PRADESH,2014,0.4,1.0,15.9,31.7,60.8,185.0,422.2,163.0,331.2,4.2,10.0,11.4,1236.8,1101.4,108.4,25.6,1.4,64.2,1
SAURASHTRA & KUTCH,1935,2.6,0.0,6.9,12.0,0.0,48.3,129.7,138.6,38.3,6.2,2.6,5.6,390.8,354.9,18.9,14.4,2.6,53.2,0
GANGETIC WEST BENGAL,1967,24.6,11.7,67.3,96.6,73.7,40.4,304.2,382.2,319.4,117.0,29.2,9.0,1475.3,1046.2,237.6,155.2,36.3,65.8,0
ASSAM & MEGHALAYA,1901,12.1,10.1,21.9,115.3,90.8,286.0,635.0,442.2,239.1,101.4,11.6,20.4,1985.9,1602.3,228.0,133.4,22.2,69.9,1
RAYALSEEMA,1979,7.0,7.7,8.2,4.1,0.0,64.0,164.4,164.3,54.0,11.5,3.3,4.3,492.8,446.7,12.3,19.1,14.7,52.5,0
HARYANA DELHI & CHANDIGARH,1979,5.4,9.9,3.7,15.9,13.2,1.2,165.9,80.8,90.3,2.2,5.2,1.4,395.1,338.2,32.8,8.8,15.3,65.9,0
GANGETIC WEST BENGAL,1902,14.3,20.8,12.4,101.9,191.6,195.7,292.5,468.1,261.2,76.5,34.1,4.9,1674.0,1217.5,305.9,115.5,35.1,61.3,1
HIMACHAL PRADESH,1904,51.8,103.3,0.0,51.1,73.6,88.9,325.0,162.9,110.4,24.5,24.5,3.8,1019.8,687.2,124.7,52.8,155.1,62.5,0
WEST MADHYA PRADESH,2001,0.0,23.4,18.5,23.3,36.2,181.4,352.8,212.1,134.0,61.5,21.8,7.6,1072.6,880.3,78.0,90.9,23.4,76.3,0
VIDARBHA,1962,4.3,18.7,33.3,17.0,15.4,140.8,326.3,280.6,263.6,80.0,4.0,5.0,1189.0,1011.3,65.7,89.0,23.0,70.9,0
